time,Subject,Order (1 or 2),Conditions,How mentally demanding was the task? (Mental demand),How physically demanding was the task? (Physical demand),How much time pressure did you feel due to rate or pace at which the tasks occurred? (Temporal demand),How successful do you think you were in accomplishing the task that you were asked to? (Performance),How hard did you have to work to accomplish your level of performance? (Effort),"How irritated, stressed, and annoyed were you? (Frustration Level)"
2022/05/12 3:54:31 下午 GMT-4,1,1,Traditional IK,4,5,4,6,7,6
2022/05/12 4:10:20 下午 GMT-4,1,2,Human-like IK,2,5,2,9,8,2
2022/05/13 6:50:05 下午 GMT-4,2,1,Traditional IK,1,1,1,2,2,1
2022/05/13 6:59:54 下午 GMT-4,2,2,Human-like IK,5,5,6,3,6,5
2022/05/14 3:50:21 下午 GMT-4,3,1,Human-like IK,6,7,3,1,5,3
2022/05/14 3:59:55 下午 GMT-4,3,2,Traditional IK,8,8,3,5,8,6
2022/05/14 5:54:23 下午 GMT-4,4,1,Human-like IK,2,3,1,1,2,1
2022/05/14 6:04:55 下午 GMT-4,4,2,Traditional IK,2,1,1,2,2,1
2022/05/15 4:38:00 下午 GMT-4,5,1,Traditional IK,2,3,2,3,2,1
2022/05/15 4:48:07 下午 GMT-4,5,2,Human-like IK,2,4,2,1,2,6
2022/05/15 6:05:47 下午 GMT-4,6,1,Human-like IK,2,2,1,3,2,1
2022/05/15 6:13:43 下午 GMT-4,6,2,Traditional IK,2,2,1,1,2,1
2022/05/17 3:07:32 下午 GMT-4,7,1,Traditional IK,5,4,6,4,6,3
2022/05/17 3:16:32 下午 GMT-4,7,2,Human-like IK,3,2,4,2,3,2
2022/05/17 6:14:28 下午 GMT-4,8,1,Human-like IK,1,4,1,1,1,1
2022/05/17 6:29:22 下午 GMT-4,8,2,Traditional IK,5,7,2,8,8,7
2022/05/19 2:24:01 下午 GMT-4,9,1,Traditional IK,2,1,1,3,3,1
2022/05/19 2:36:59 下午 GMT-4,9,2,Human-like IK,1,1,1,2,2,3
2022/05/19 3:34:12 下午 GMT-4,10,1,Human-like IK,4,5,1,3,6,7
2022/05/19 3:49:32 下午 GMT-4,10,2,Traditional IK,3,4,2,2,4,5
2022/05/25 5:12:09 下午 GMT-4,11,1,Human-like IK,3,2,1,2,5,4
2022/05/25 5:27:06 下午 GMT-4,11,2,Traditional IK,7,6,5,8,10,9
2022/05/25 6:08:29 下午 GMT-4,12,1,Traditional IK,3,4,1,5,3,4
2022/05/25 6:22:12 下午 GMT-4,12,2,Human-like IK,4,6,2,6,6,2
2022/05/26 3:27:47 下午 GMT-4,13,1,Human-like IK,4,4,2,2,5,2
2022/05/26 3:38:09 下午 GMT-4,13,2,Traditional IK,5,5,2,4,3,3
2022/05/26 4:13:53 下午 GMT-4,14,1,Traditional IK,4,6,5,3,2,3
2022/05/26 4:26:39 下午 GMT-4,14,2,Human-like IK,2,4,5,2,3,2
2022/05/26 4:48:23 下午 GMT-4,15,1,Human-like IK,3,4,2,2,2,2
2022/05/26 4:59:04 下午 GMT-4,15,2,Traditional IK,4,5,3,6,6,4
