时间戳记,Subject,Conditions,Order (1 or 2),1. Stability of situation,2. Comprehensible of situation,3. Invariance of situation,4. Arousal,5. Concentration of attention,6. Spare mental capacity,7. Information quantity,8. Familiarity of situation
2022/05/12 3:59:30 下午 GMT-4,1,Traditional IK,1,6,4,6,6,4,4,3,6
2022/05/12 4:11:57 下午 GMT-4,1,Human-like IK,2,7,7,8,6,7,7,6,7
2022/05/13 6:51:55 下午 GMT-4,2,Traditional IK,1,10,8,8,3,8,6,6,8
2022/05/13 7:00:23 下午 GMT-4,2,Human-like IK,2,6,6,6,6,6,7,6,7
2022/05/14 3:52:53 下午 GMT-4,3,Human-like IK,1,5,6,5,6,7,6,3,6
2022/05/14 4:00:56 下午 GMT-4,3,Traditional IK,2,3,5,5,6,7,7,6,5
2022/05/14 5:57:50 下午 GMT-4,4,Human-like IK,1,7,7,7,6,7,7,8,9
2022/05/14 6:07:06 下午 GMT-4,4,Traditional IK,2,9,5,3,2,9,9,8,8
2022/05/15 4:41:43 下午 GMT-4,5,Traditional IK,1,7,6,7,5,2,2,2,6
2022/05/15 4:49:39 下午 GMT-4,5,Human-like IK,2,8,8,8,2,3,2,2,8
2022/05/15 6:08:37 下午 GMT-4,6,Human-like IK,1,6,8,7,8,9,9,3,8
2022/05/15 6:16:48 下午 GMT-4,6,Traditional IK,2,9,8,4,7,8,9,8,9
2022/05/17 3:10:12 下午 GMT-4,7,Traditional IK,1,7,6,7,7,7,5,6,7
2022/05/17 3:17:56 下午 GMT-4,7,Human-like IK,2,8,8,7,8,8,5,9,8
2022/05/17 6:18:19 下午 GMT-4,8,Human-like IK,1,6,9,1,10,10,10,2,9
2022/05/17 6:28:06 下午 GMT-4,8,Traditional IK,2,9,2,2,10,10,9,3,1
2022/05/19 2:22:47 下午 GMT-4,9,Traditional IK,1,3,4,5,4,3,8,2,2
2022/05/19 2:36:37 下午 GMT-4,9,Human-like IK,2,6,6,6,2,2,2,4,2
2022/05/19 3:38:00 下午 GMT-4,10,Human-like IK,1,3,5,3,5,8,2,4,4
2022/05/19 3:50:54 下午 GMT-4,10,Traditional IK,2,7,8,7,5,8,4,5,8
2022/05/25 5:15:47 下午 GMT-4,11,Human-like IK,1,6,7,8,9,10,8,6,10
2022/05/25 5:29:34 下午 GMT-4,11,Traditional IK,2,2,6,2,6,2,9,5,5
2022/05/25 6:11:07 下午 GMT-4,12,Traditional IK,1,4,6,5,4,7,6,5,8
2022/05/25 6:23:03 下午 GMT-4,12,Human-like IK,2,3,6,5,4,9,5,7,9
2022/05/26 3:29:21 下午 GMT-4,13,Human-like IK,1,7,7,7,5,7,7,7,7
2022/05/26 3:38:25 下午 GMT-4,13,Traditional IK,2,6,6,6,6,6,6,6,6
2022/05/26 4:16:08 下午 GMT-4,14,Traditional IK,1,8,8,2,5,9,6,6,9
2022/05/26 4:27:53 下午 GMT-4,14,Human-like IK,2,9,9,8,2,3,3,5,9
2022/05/26 4:50:35 下午 GMT-4,15,Human-like IK,1,3,5,9,7,5,5,5,6
2022/05/26 5:00:09 下午 GMT-4,15,Traditional IK,2,3,6,2,4,7,6,4,5
